SPECIMENS,Age max,Age min,"""median"" age",Body mass (kg),Age (~0.025 My accuracy)
BC1745,"5,1","3,9","4,5","22,8978853649233","5,1"
Omo119-2718,"5,1","3,9",4500,"46,0251796045811","4,5"
Omo75a-1317,"5,1","3,9",4500,"37,1396482449998","4,5"
ARA-VP 7/2,"5,1","3,9",4500,"42,2882738926077","4,4"
KP271,"5,1","3,9",4500,"52,7931310607108","4,25"
KP29285,"5,1","3,9",4500,"55,5750497574021",4
ER 20419,"5,1","3,9",4500,"60,6821542304325","3,9"
MAK-VP 1,"5,1","3,9",4500,"45,6099678588063","4,5"
AL 288- I,"3,4","3,3",3350,"28,0049898379537","3,3"
AL 333 - 106,"3,4","3,3",3350,"28,1710745362636","3,3"
AL 333 - 107,"3,4","3,3",3350,"39,6309187196488","3,3"
AL 333 -3,"3,4","3,3",3350,"73,2630701274097","3,3"
AL 333 -4,"3,4","3,3",3350,"50,3018605860618","3,3"
AL 333 - 42,"3,4","3,3",3350,"53,2083428064856","3,3"
AL333-6,"3,4","3,3",3350,"44,9041078909891","3,4"
AL 333 - 7,"3,4","3,3",3350,"57,0698120421915","3,3"
AL 333 - 96,"3,4","3,3",3350,"36,5998729754926","3,3"
AL 333 - 56,"3,4","3,3",3350,"57,3604602642339","3,3"
AL 333 - 14,"3,4","3,3",3350,"57,0698120421915","3,3"
AL 333 - 26,"3,4","3,3",3350,"58,8967437236007","3,3"
AL 128 - 1,"3,1","3,1",3100,"39,5063551959163","3,1"
AL 129 - 1,"3,1","3,1",3100,"35,0635895161257","3,1"
AL 137 - 48a,"3,1","3,1",3100,"31,7418955499271","3,1"
AL211- 1,"3,1","3,1",3100,"69,1109526696614","3,1"
AL322- 1,"3,1","3,1",3100,"46,5649548740884","3,1"
AL 333 - 95,"3,1","3,1",3100,"69,6922491137462","3,1"
AL 333 - 40,"3,1","3,1",3100,"77,5812722834679","3,1"
Stw102,"2,75","2,75",2750,"31,6173320261946","2,75"
Stw139,"2,75","2,75",2750,"54,5785415675425","2,75"
Stw347,"2,75","2,75",2750,"27,7558627904888","2,75"
stw433,"2,75","2,75",2750,"41,457850401058","2,75"
Stw457a,"2,75","2,75",2750,"43,949120875707","2,75"
Stw463,"2,75","2,75",2750,"24,4341688242902","2,75"
Stw479,"2,75","2,75",2750,"21,9428983496412","2,75"
Sts 41,"2,6","2,6",2600,"40,7519904332408","2,6"
Sts 7,"2,6","2,6",2600,"48,765577126695","2,6"
Sts14,"2,6","2,6",2600,"22,6072371428809","2,6"
Sts34,"2,6","2,6",2600,"43,949120875707","2,6"
Sts73,"2,6","2,6",2600,"41,2917657027481","2,6"
Stw25,"2,6","2,6",2600,"33,9840389771112","2,6"
Stw300,"2,6","2,6",2600,"42,2882738926077","2,6"
Stw31,"2,6","2,6",2600,"32,3231919940119","2,6"
Stw311,"2,6","2,6",2600,"49,7620853165545","2,6"
Stw328,"2,6","2,6",2600,"34,5238142466184","2,6"
Stw358,"2,6","2,6",2600,"22,0674618733736","2,6"
Stw389,"2,6","2,6",2600,"51,9627075691611","2,6"
Stw392,"2,6","2,6",2600,"35,7694494839429","2,6"
Stw396,"2,6","2,6",2600,"59,7271672151504","2,6"
Stw431,"2,6","2,6",2600,"55,4089650590922","2,6"
Stw443,"2,6","2,6",2600,"46,6895183978208","2,6"
Stw8,"2,6","2,6",2600,"28,2956380599961","2,6"
Stw99,"2,6","2,6",2600,"61,0973659762073","2,6"
ER1472,"2,5","2,5",2500,"52,377919314936","2,5"
ER1481c,"2,5","2,5",2500,"55,6996132811346","2,5"
MLD17,"2,1",2,2050,"62,3430012135318","2,1"
OmoL 754-8,"2,1",2,2050,"79,2421192665672","2,1"
ER3228,"2,1",2,2050,"75,2145653325514",2
