ID,u? (Taxon used?),1st taxon,Taxon used,multiple taxa?,Taxon,Date,CC (ml),min,max,mean
AL 288-1 (Lucy),1,af,af,0,af,3200,380,380,,380
AL 288-1 (Lucy),1,af,af,0,af,3200,410,410,,410
AL162-28,1,af,af,0,af,3200,400,400,,400
AL162-28,1,af,af,0,af,3200,375,375,,375
AL162-28,1,af,af,0,af,3200,375-400,375,400,"387,5"
AL333-105 (5 year old),1,af,af,0,af,3200,310-320,310,320,315
AL333-105 (5 year old),1,af,af,0,af,3200,320,320,,320
AL333-105 (adult),1,af,af,0,af,3200,343,343,,343
AL333-105 (adult),1,af,af,0,af,3200,352,352,,352
AL333-105 (adult),1,af,af,0,af,3200,400,400,,400
AL333-45,1,af,af,0,af,3200,500,500,,500
AL333-45,1,af,af,0,af,3200,485,485,,485
AL333-45,1,af,af,0,af,3200,485-500,485,500,"492,5"
AL444-2,1,af,af,0,af,2950,500,500,,500
MLD-1 (A. prometheus),1,aa,aa,0,aa,2900,500,500,,500
MLD-1 (A. prometheus),1,aa,aa,0,aa,2900,650,650,,650
MLD-3,1,aa,aa,0,aa,2900,375-400,375,400,"387,5"
MLD37-38 (MLD 37/43),1,aa,aa,0,aa,2900,425,425,,425
MLD37-38 (MLD 37/43),1,aa,aa,0,aa,2900,435,435,,435
MLD37-38 (MLD 37/43),1,aa,aa,0,aa,2900,480,480,,480
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,513,513,,513
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,515,515,,515
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,>600,600,,600
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,625,625,,625
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,586-598,586,598,592
Stw505 (Mr Ples),1,aa,aa,0,aa,2500,566.5-592.3,"566,5","592,3","579,4"
"KNM-WT17000
(black skull)",1,ab,ab,1,"ab, aae",2500,410,410,,410
Plesianthropus (B),0,ples,0,1,"ples transv, aa",2500,600,600,,600
Plesianthropus type (A),0,ples,0,1,"ples transv, aa",2500,440,440,,440
Plesianthropus type 2,1,aa,aa,1,"aa, ples trans",2500,457,457,,457
Plesianthropus type 2,1,aa,aa,1,"aa, ples trans",2500,510-580,510,580,545
Plesianthropus type 2,1,aa,aa,1,"aa, ples trans",2500,520-540,520,540,530
Plesianthropus type 3,1,aa,aa,1,"aa, ples trans",2500,286,286,,286
STS mandible *,0,aa,0,1,"aa, ples trans",2500,600-700*,600,700,650
STS mandible *,0,aa,0,1,"aa, ples trans",2500,>700-750*,700,750,725
"STS60 (Ples 1,
Sterkfontein 1, Sts 1)",1,aa,aa,1,"aa, ples trans",2500,428,428,,428
"STS60 (Ples 1, Sterkfontein 1, Sts 1)",1,aa,aa,1,"aa, ples trans",2500,435,435,,435
"STS60 (Ples 1, Sterkfontein 1, Sts 1)",1,aa,aa,1,"aa, ples trans",2500,450,450,,450
"STS5 (Mrs/Mr Ples, Ples 5, Sterkfontein 5)",1,aa,aa,1,"aa, ples trans",2500,475-500,475,500,"487,5"
"STS5 (Mrs/Mr Ples, Ples 5, Sterkfontein 5)",1,aa,aa,1,"aa, ples trans",2500,480,480,,480
"STS5 (Mrs/Mr Ples, Ples 5, Sterkfontein 5)",1,aa,aa,1,"aa, ples trans",2500,482,482,,482
"STS5 (Mrs/Mr Ples, Ples 5, Sterkfontein 5)",1,aa,aa,1,"aa, ples trans",2500,485,485,,485
"STS5 (Mrs/Mr Ples, Ples 5, Sterkfontein 5)",1,aa,aa,1,"aa, ples trans",2500,500,500,,500
"STS71 (Ples 7, Sterkfontein 7, Sts 7)",1,aa,aa,1,"aa, ples trans",2500,370,370,,370
"STS71 (Ples 7, Sterkfontein 7, Sts 7)",1,aa,aa,1,"aa, ples trans",2500,428,428,,428
"STS71 (Ples 7, Sterkfontein 7, Sts 7)",1,aa,aa,1,"aa, ples trans",2500,480-520,480,520,500
"STS71 (Ples 7, Sterkfontein 7, Sts 7)",1,aa,aa,1,"aa, ples trans",2500,500,500,,500
"STS19/58 (Ples 8, Sterkf 19, Sterkf 8, Sts 8)",1,aa,aa,1,"aa, ples trans",2500,436,436,,436
"STS19/58 (Ples 8, Sterkf 19, Sterkf 8, Sts 8)",1,aa,aa,1,"aa, ples trans",2500,525-550,525,550,"537,5"
"STS19/58 (Ples 8, Sterkf 19, Sterkf 8, Sts 8)",1,aa,aa,1,"aa, ples trans",2500,530,530,,530
"STS19/58 (Ples 8, Sterkf 19, Sterkf 8, Sts 8)",1,aa,aa,1,"aa, ples trans",2500,550-570,550,570,560
"STS19/58 (Ples 8, Sterkf 19, Sterkf 8, Sts 8)",1,aa,aa,1,"aa, ples trans",2500,560,560,,560
STS 17,1,aa,aa,0,aa,2500,400-425,400,425,"412,5"
