ID,Body mass (kg),AgeBM
AL 128 - 1,39.5063551959163,3100000.0
AL 129 - 1,35.0635895161257,3100000.0
AL 137 - 48a,31.7418955499271,3100000.0
AL 288- I,28.0049898379537,3300000.0
AL 333 - 106,28.1710745362636,3300000.0
AL 333 - 107,39.6309187196488,3300000.0
AL 333 - 14,57.0698120421915,3300000.0
AL 333 - 26,58.8967437236007,3300000.0
AL 333 - 40,77.5812722834679,3100000.0
AL 333 - 42,53.2083428064856,3300000.0
AL 333 - 56,57.3604602642339,3300000.0
AL 333 - 7,57.0698120421915,3300000.0
AL 333 - 95,69.6922491137462,3100000.0
AL 333 - 96,36.5998729754926,3300000.0
AL 333 -3,73.2630701274097,3300000.0
AL 333 -4,50.3018605860618,3300000.0
AL211- 1,69.1109526696614,3100000.0
AL322- 1,46.5649548740884,3100000.0
AL333-6,44.9041078909891,3400000.0
ARA-VP 7/2,42.2882738926077,4400000.0
Ain Maarouf I,46.8556030961308,500000.0
Amud 1,76.9999758393831,21000.0
Arago 44,71.7683078426203,400000.0
Arago XLVIII,47.9351536351453,400000.0
Arene Candide 1,70.3565879069859,11500.0
Arene Candide 1-IP,76.044988824101,21000.0
Arene Candide 10,73.0139430799448,11500.0
Arene Candide 12,72.59873133417,11500.0
Arene Candide 13,57.4850237879663,11500.0
Arene Candide 14,59.8517307388828,11500.0
Arene Candide 2,72.0174348900852,11500.0
Arene Candide 4,75.6297770783262,11500.0
Arene Candide 5,73.0139430799448,11500.0
BC1745,22.8978853649233,5100000.0
Baousse de Torre 2,83.2281520260055,21000.0
Baousso de Torre 1,137.91153894455,21000.0
Baousso de Torre 2,111.213423691229,21000.0
Baousso de Torre1,132.389222725745,60000.0
Baousso de Torre2,103.44896404524,60000.0
Barna Grande 1,135.544831993634,21000.0
Barna Grande 2,95.4353773517854,21000.0
Barna Grande 3,68.2805291781118,21000.0
Barna Grande 4,75.9204253003686,21000.0
Barna Grande 5,104.985247504606,21000.0
Bichon 1,64.1284117203635,11500.0
Boxgrove 1,79.0760345682572,500000.0
Broken Hill E689,54.7446262658525,300000.0
Broken Hill E690,38.3852834823243,300000.0
Broken Hill E691,58.4815319778259,300000.0
Broken Hill E719,67.4501056865621,300000.0
Broken Hill E793,42.828049162115,300000.0
Broken Hill E907,65.2494834339555,300000.0
Brun24,48.5164500792301,60000.0
Bruniquel 2,65.374046957688,11500.0
Bruniquel24,59.8517307388828,21000.0
Cap Blanc1,63.3187488161026,16250.0
Cav1,78.8269075207923,60000.0
Caviglione 1,80.96524801153271,21000.0
Chancelade,67.3255421628297,21000.0
Combe-Capelle,64.0038481966311,21000.0
Continenza 1,72.59873133417,11500.0
Cro Magnon3,97.3453513823496,21000.0
Cro-Magnon 1,66.7857668933224,60000.0
Cro-Magnon 4293,66.3705551475476,60000.0
Cro-Magnon 4297,72.3080831121276,60000.0
Cro-Magnon 4315,70.107460859521,60000.0
Cro-Magnon 4317,58.8967437236007,60000.0
Cro-Magnon 4321,58.4815319778259,60000.0
Cro-Magnon 4322,69.9413761612111,60000.0
Cro-Magnon 4330,64.7097081644483,60000.0
Dolni Vestonice 13,75.5052135545937,21000.0
Dolni Vestonice 14,79.3666827902996,21000.0
Dolni Vestonice 16,78.9514710445248,21000.0
Dolni Vestonice 3,63.5886364508562,21000.0
ER 20419,60.6821542304325,3900000.0
ER1463,42.4128374163401,1500000.0
ER1464,59.1458707710656,1600000.0
ER1465,53.2083428064856,1500000.0
ER1471,42.9526126858474,1950000.0
ER1472,51.755101696273755,2225000.0
ER1473,61.9277894677569,1950000.0
ER1475,54.5785415675425,1950000.0
ER1476A,34.5238142466184,1750000.0
ER1481,51.9627075691611,1950000.0
ER1481c,55.6996132811346,2500000.0
ER1500,40.336778687466,1950000.0
ER1503,45.8590949062712,1750000.0
ER1503/1505,50.8416358555691,1750000.0
ER1504,40.336778687466,1950000.0
ER1592,91.8230351635444,1900000.0
ER164C,55.2844015353597,1750000.0
ER1807,77.7058358072003,1500000.0
ER1808,57.2358967405014,1700000.0
ER1809,43.7830361773971,1900000.0
ER1810,55.5750497574021,1950000.0
ER2596,30.786908534645,1950000.0
ER3228,75.2145653325514,2000000.0
ER3728,44.6134596689467,1900000.0
ER3735,32.4477555177443,1950000.0
ER3736,59.0213072473332,1950000.0
ER3888,43.949120875707,1500000.0
ER3951,54.3294145200776,1750000.0
ER5428,116.320528164259,1750000.0
ER5880A,61.9277894677569,1950000.0
ER6020,61.8032259440245,1750000.0
ER736,81.0275297733989,1750000.0
ER737,63.8792846728986,1600000.0
ER738,41.8730621468329,1750000.0
ER739,60.9728024524748,1350000.0
ER741,62.882776483039,1750000.0
ER803,58.0663202320511,1500000.0
ER813A,62.882776483039,1750000.0
ER815,36.1846612297177,1750000.0
ER993,55.824176804867,1500000.0
ER999,70.3565879069859,920000.0
Ein Gev 1,64.9588352119132,21000.0
Farincourt 1,60.5575907067,11500.0
Fond-de-Foret 1,83.103588502273,60000.0
Font de Foret I,65.6646951797304,21000.0
Gasher-Benot-Ya'acov,45.6099678588063,500000.0
Grotte des Enfants 3,58.315447279516,11500.0
Grotte des Enfants4,120.472645622007,60000.0
Grotte des Enfants5,59.436518993108,60000.0
Grotte du Prince,69.9413761612111,100000.0
Groutte des Enfants 4,90.2867517041775,21000.0
Groutte des Enfants 5,60.9728024524748,21000.0
Jebel Sahaba 117-1,70.7717996527607,11500.0
Jebel Sahaba 117-10,67.8653174323369,11500.0
Jebel Sahaba 117-102,68.4466138764217,11500.0
Jebel Sahaba 117-11,66.9103304170548,11500.0
Jebel Sahaba 117-15,56.6546002964166,11500.0
Jebel Sahaba 117-17,67.2009786390972,11500.0
Jebel Sahaba 117-18,74.6747900630441,11500.0
Jebel Sahaba 117-19,66.7857668933224,11500.0
Jebel Sahaba 117-20,65.7892587034628,11500.0
Jebel Sahaba 117-21,64.7097081644483,11500.0
Jebel Sahaba 117-22,65.2494834339555,11500.0
Jebel Sahaba 117-26,59.7271672151504,11500.0
Jebel Sahaba 117-28,60.5575907067,11500.0
Jebel Sahaba 117-29,76.7508487919182,11500.0
Jebel Sahaba 117-33,66.2044704492377,11500.0
Jebel Sahaba 117-38,70.3565879069859,11500.0
Jebel Sahaba 117-39,70.2320243832534,11500.0
Jebel Sahaba 117-4,63.1734247050814,11500.0
Jebel Sahaba 117-40,69.5261644154362,11500.0
Jebel Sahaba 117-42,72.0174348900852,11500.0
Jebel Sahaba 117-5,69.8168126374786,11500.0
Jebel Sahaba 117-6,69.8168126374786,11500.0
Jebel Sahaba 117-7,60.3915060083901,11500.0
KNM-BK 66,54.7446262658525,500000.0
KP271,52.7931310607108,4250000.0
KP29285,55.5750497574021,4000000.0
Kebara,74.923917110509,60000.0
Kiik-Koba 1,77.2906240614255,60000.0
Krapina 189,75.7543406020586,100000.0
Krapina 207,51.5474958233863,140000.0
Krapina 208,62.882776483039,200000.0
Krapina 209,58.4815319778259,100000.0
Krapina 213,75.2145653325514,100000.0
Kubbaniya 1,78.6608228224824,21000.0
La Chapelle,64.4190599424059,60000.0
La Ferrassie 1,70.9378843510707,60000.0
La Ferrassie 2,58.0663202320511,60000.0
La Madelanie,82.8129402802307,21000.0
La Madeleine 1,71.1870113985355,11500.0
La Quina 5,69.4016008917038,60000.0
La Rochette 1,64.1284117203635,60000.0
Laugerie Basse 54298,74.6747900630441,11500.0
Laugerie Basse 9,65.374046957688,11500.0
Le Placard 15,64.1284117203635,11500.0
Le Placard 16,70.7717996527607,11500.0
Lezetxiki 1,72.8478583816348,60000.0
MAK-VP 1,45.6099678588063,4500000.0
MLD17,62.3430012135318,2100000.0
Minatogawa 1,70.3565879069859,21000.0
Minatogawa 2,56.8206849947265,21000.0
Minatogawa 3,60.9728024524748,21000.0
Minatogawa 4,58.315447279516,21000.0
Mladec 21,61.6371412457146,60000.0
Mladec 22,75.5052135545937,60000.0
Mladec 24,75.9204253003686,60000.0
Moustier 1,38.9665799264091,60000.0
Nahal Ein Gev 1,61.0973659762073,21000.0
Nazlet Khazer 1,51.2568476013439,60000.0
Neandertal 1,64.5436234661383,60000.0
Neussing 2,80.3216698055817,21000.0
Neve David 1,66.6196821950125,11500.0
Ngandong B,48.1012383334552,100000.0
OH 34,44.1982479231719,1000000.0
OH20,44.4888961452143,1250000.0
OH28,57.3604602642339,870000.0
OH35,34.399250722886,1800000.0
OH5,31.4927685024622,1800000.0
OH53,52.377919314936,1800000.0
OH62,30.9114720583775,1770000.0
OH8,37.1396482449998,1800000.0
Obercassel 1,72.7232948579024,11500.0
Obercassel 2,63.1734247050814,11500.0
Ohalo 2,82.5638132327658,21000.0
Omo119-2718,46.0251796045811,4500000.0
Omo75a-1317,37.1396482449998,4500000.0
OmoL 754-8,79.2421192665672,2100000.0
Paglicci 25,69.2770373679714,21000.0
Paglicci I,68.4466138764217,60000.0
Parabita 1,77.2906240614255,11500.0
Parabita 2,74.2595783172693,11500.0
Pataud 4,71.7683078426203,21000.0
Pataud 5,69.8168126374786,21000.0
Paviland,85.594858976922,21000.0
Pavlov 1,86.5498459922041,21000.0
Peking I,44.6134596689467,400000.0
Peking II,38.5513681806343,400000.0
Peking IV,44.3643326214818,400000.0
Peking V,48.3503653809201,400000.0
Peking VI,49.0562253487373,400000.0
Prapina 214,57.4850237879663,100000.0
Predmost10,67.7407539086045,21000.0
Predmost14,74.5087053647341,21000.0
Predmost3,86.965057737979,21000.0
Predmost4,67.2009786390972,21000.0
Predmost9,70.3565879069859,21000.0
Predmosti 1,63.8792846728986,21000.0
Qafzeh 3,56.4054732489518,60000.0
Qafzeh 7,66.6196821950125,60000.0
Qafzeh 8,76.4602005698758,60000.0
Qafzeh 9,70.107460859521,90000.0
