ID,SpeciesECV,BM (kg),ECV (cc),AgeECV
AL 444-2,Australopithecus afarensis,76.0 ,500 ,3200000.0
Barma Grande 2,AMH (Upper Pleistocene),79.8 ,1814 ,25000.0
Cro-Magnon I,AMH (Upper Pleistocene),69.0 ,1616 ,28000.0
D4500,Homo georgicus / H. habilis s.l.,48.5 ,546 ,1815000.0
KNM-ER 1470,Homo rudolfensis / H. habilis s.l.,45.6 ,776 ,1900000.0
KNM-ER 17000,Paranthropus aethiopicus,37.7 ,410 ,2520000.0
KNM-ER 1813,Homo habilis,34.9 ,506 ,1650000.0
KNM-ER 3733,Homo ergaster / H. erectus s.l.,59.2 ,825 ,1630000.0
KNM-ER 406,Paranthropus boisei,69.8 ,518 ,1580000.0
Kabwe,Homo rhodesiensis / H. heidelbergensis,118.9 ,1310 ,300000.0
LB-1,Homo floresiensis,33.0 ,417 ,18000.0
LES-1,Homo naledi,37.4 ,610 ,286000.0
La Chapelle,Homo neanderthalensis,100.3 ,1604 ,52000.0
La Ferrasie I,Homo neanderthalensis,99.5 ,1663 ,72000.0
MRD-VP-1/1,Australopithecus anamensis,55.2 ,368 ,3800000.0
OH 24,Homo habilis,30.3 ,582 ,1800000.0
OH 5,Paranthropus boisei,57.6 ,613 ,1830000.0
Predmost IV,AMH (Upper Pleistocene),69.7 ,1423 ,26000.0
SH Cranium 5,Homo neanderthalensis,94.3 ,1390 ,350000.0
SK 48,Paranthropus robustus,46.8 ,600 ,1775000.0
Sangiran 17,Homo erectus,76.1 ,1020 ,800000.0
StW 573,Australopithecus prometheus,40.0 ,408 ,3670000.0
Steinheim,Homo heidelbergensis,60.5 ,1121 ,250000.0
Sts 5,Australopithecus africanus,27.9 ,487 ,2010000.0
Sts 71,Australopithecus africanus,26.6 ,460 ,2010000.0
WT 15000,Homo ergaster / H. erectus s.l.,53.5 ,880 ,1500000.0
