ID,Taxon used,Taxon,AgeCC,minCC,maxCC,meanCC,Taxon2,Specie1,Specie2
AL 288-1 (Lucy),af,af,3200,395.0,,395.0,af,Australopithecus afarensis,A. afarensis
AL162-28,af,af,3200,383.3333333333333,400.0,387.5,af,Australopithecus afarensis,A. afarensis
AL333-105 (5 year old),af,af,3200,315.0,320.0,317.5,af,Australopithecus afarensis,A. afarensis
AL333-105 (adult),af,af,3200,365.0,,365.0,af,Australopithecus afarensis,A. afarensis
AL333-45,af,af,3200,490.0,500.0,492.5,af,Australopithecus afarensis,A. afarensis
AL444-2,af,af,2950,500.0,,500.0,af,Australopithecus afarensis,A. afarensis
Amud 1,n,n,51,1745.0,,1745.0,n,Neandertal,Neandertal
Arago 21 (XXI & XLVII),ahs,ahs. hs. hhei,400,1122.0,1200.0,1138.6666666666667,ahs. hs. hhei,Archaic Homo sapiens,Archaic Homo sapiens
Arene Candide 1,hs,hs,11,1414.0,,1414.0,hs,Homo sapiens,Homo sapiens
Arene Candide 1-IP,hs,hs,19,1490.0,,1490.0,hs,Homo sapiens,Homo sapiens
Arene Candide 2,hs,hs,11,1424.0,,1424.0,hs,Homo sapiens,Homo sapiens
Arene Candide 4,hs,hs,11,1520.0,,1520.0,hs,Homo sapiens,Homo sapiens
Arene Candide 5,hs,hs,11,1661.0,,1661.0,hs,Homo sapiens,Homo sapiens
Atapuerca 4 (AT 600),hhei,ahs. hhei,300,1390.0,,1390.0,ahs. hhei,Homo heidelbergensis,H. heidelbergensis
Atapuerca 5 (AT 700),hhei,ahs. hhei,300,1125.0,,1125.0,ahs. hhei,Homo heidelbergensis,H. heidelbergensis
Atapuerca 6 (11-14 year old),hhei,ahs. hhei,300,1153.3333333333333,,1153.3333333333333,ahs. hhei,Homo heidelbergensis,H. heidelbergensis
BOU-VP-12/130,ag,ag,2500,450.0,,450.0,ag,Australopithecus garhi,A. garhi
Barma Grande 2,hs,hs,19,1814.0,,1814.0,hs,Homo sapiens,Homo sapiens
Biache,n,n,178,1200.0,,1200.0,n,Neandertal,Neandertal
Bodo,ahs,ahs. hhei,600,1275.0,,1275.0,ahs. hhei,Archaic Homo sapiens,Archaic Homo sapiens
Border Cave 1 (Ingwavuma 1),hs,hs,72,1478.5,,1478.5,hs,Homo sapiens,Homo sapiens
Boskop,hs,hs,20,1729.857142857143,1700.0,1734.857142857143,hs,Homo sapiens,Homo sapiens
Brno (female),hs,hs,18,1250.0,,1250.0,hs,Homo sapiens,Homo sapiens
Brno 1,hs,hs,18,1600.0,,1600.0,hs,Homo sapiens,Homo sapiens
Brno 2,hs,hs,18,1543.0,,1543.0,hs,Homo sapiens,Homo sapiens
Broken Hill 1 (Kabwe. Rhodesian),ahs,he. n-hs. ahs. hs. hhei,350,1310.0,,1310.0,he. n-hs. ahs. hs. hhei,Archaic Homo sapiens,Archaic Homo sapiens
Bruniquel 2,hs,hs,12,1555.0,,1555.0,hs,Homo sapiens,Homo sapiens
Cap Blanc 1,hs,hs,12,1434.0,,1434.0,hs,Homo sapiens,Homo sapiens
Cape Flats,hs,hs,15,1230.0,,1230.0,hs,Homo sapiens,Homo sapiens
Ceprano,ahs,late he. ahs,700,1185.0,,1185.0,late he. ahs,Archaic Homo sapiens,Archaic Homo sapiens
Chancelade 1,hs,hs,13,1647.5,,1647.5,hs,Homo sapiens,Homo sapiens
Chesowanja 1 (Baringo),ar,ar,1550,540.0,,540.0,ar,Australopithecus robustus,A. robustus
Cohuna,hs,hs,10,1355.0,,1355.0,hs,Homo sapiens,Homo sapiens
Combe Capelle,hs,hs,25,1440.0,,1440.0,hs,Homo sapiens,Homo sapiens
Cro-Magnon 1,hs,hs,30,1615.8,,1615.8,hs,Homo sapiens,Homo sapiens
