Specimen,Species,Age (kyr),BM (kg) / Reference,ECV (cc) / Reference
MRD-VP-1/1,Australopithecus anamensis,3800,55.2 [s1],368 [s9]
StW 573,Australopithecus prometheus,3670,40.0 [s1],408 [s11]
AL 444-2,Australopithecus afarensis,3200,76.0 [s3],500 [s10]
Sts 5,Australopithecus africanus,2010,27.9 [s2],487 [s10]
Sts 71,Australopithecus africanus,2010,26.6 [s2],460 [s10]
KNM-ER 17000,Paranthropus aethiopicus,2520,37.7 [s2],410 [s10]
OH 5,Paranthropus boisei,1830,57.6 [s2],613 [s10]
KNM-ER 406,Paranthropus boisei,1580,69.8 [s2],518 [s10]
SK 48,Paranthropus robustus,1775,46.8 [s2],600 [s10]
KNM-ER 1470,Homo rudolfensis / H. habilis s.l.,1900,45.6 [s2],776 [s10]
D4500,Homo georgicus / H. habilis s.l.,1815,48.5 [s4],546 [s12]
OH 24,Homo habilis,1800,30.3 [s2],582 [s10]
KNM-ER 1813,Homo habilis,1650,34.9 [s2],506 [s10]
KNM-ER 3733,Homo ergaster / H. erectus s.l.,1630,59.2 [s2],825 [s10]
WT 15000,Homo ergaster / H. erectus s.l.,1500,53.5 [s1],880 [s10]
Sangiran 17,Homo erectus,800,76.1 [s2],1020 [s10]
SH Cranium 5,Homo neanderthalensis,350,94.3 [s5],1390 [s10]
Kabwe,Homo rhodesiensis / H. heidelbergensis,300,118.9 [s2],1310 [s10]
LES-1,Homo naledi,286,37.4 [s7],610 [s13]
Steinheim,Homo heidelbergensis,250,60.5 [s2],1121 [s10]
La Ferrasie I,Homo neanderthalensis,72,99.5 [s2],1663 [s10]
La Chapelle,Homo neanderthalensis,52,100.3 [s2],1604 [s10]
Cro-Magnon I,AMH (Upper Pleistocene),28,69.0 [s8],1616 [s10]
Predmost IV,AMH (Upper Pleistocene),26,69.7 [s1],1423 [s10]
Barma Grande 2,AMH (Upper Pleistocene),25,79.8 [s1],1814 [s10]
LB-1,Homo floresiensis,18,33.0 [s6],417 [s14]
